id;x;y;z
K0001;1994;134;0
K0001;1994;0;0
K0001;1500;0;1945
K0001;8340;2340;0
K0001;1420;0;1900
K0001;2640;0;1200
K0001;1088;0;2204
K0001;950;1740;1440
K0001;3460;0;0
K0001;2500;2280;1140
K0001;1088;520;2070
K0001;2640;0;0
K0001;1154;520;950
K0001;2500;2280;0
K0001;1500;1490;745
K0001;2500;1140;1400
K0001;1690;2042;950
K0001;2500;1140;1140
K0001;1900;1140;1820
K0001;2500;0;1820
K0001;2500;0;1560
K0001;2500;0;1300
K0001;2500;0;1040
K0001;2500;0;780
K0001;2500;0;520
K0001;2500;0;260
K0001;2500;0;0
K0001;740;2042;950
K0001;260;260;0
K0001;3460;1860;1120
K0001;360;600;360
K0001;5540;900;0
K0001;11620;0;0
K0001;0;1140;0
K0001;950;600;1850
K0001;3460;1380;1120
K0001;360;300;360
K0001;4940;2320;0
K0001;1490;1908;1120
K0001;1490;1774;1120
K0001;360;0;360
K0001;540;1774;1120
K0001;7200;2340;0
K0001;1648;560;0
K0001;6060;2340;0
K0001;1514;560;0
K0001;1380;560;0
K0001;3460;1100;1120
K0001;1860;0;950
K0001;3460;1100;840
K0001;3460;1100;560
K0001;3460;1100;280
K0001;4940;1180;960
K0001;4940;1180;0
K0001;5280;900;0
K0001;3980;2400;0
K0001;4680;1180;0
K0001;4420;1180;0
K0001;3020;2400;0
K0001;3380;2140;0
K0001;4160;1180;0
K0001;3900;1180;0
K0001;3640;1180;0
K0001;3380;1180;0
K0001;4330;900;0
K0001;0;0;0
K0001;1550;2340;300
K0001;8340;1140;0
K0001;2200;1400;0
K0001;360;0;360
K0001;360;0;0
K0001;1860;0;0
K0001;3380;900;0
K0001;740;2042;0
K0001;1500;745;745
K0001;2200;1140;0
K0001;1500;0;745
K0001;4920;2340;0
K0001;1900;1140;2090
K0001;0;2240;0
K0001;0;1120;0
K0001;1154;520;0
K0001;0;0;0
K0001;1020;1908;0
K0001;360;0;0
K0001;0;2240;0
K0001;1500;1200;0
K0001;1500;0;0
K0001;0;1120;0
K0001;360;1490;720
K0001;360;745;720
K0001;0;0;0
K0001;360;0;720
K0001;10980;600;0
K0001;360;950;1920
K0001;3460;2240;0
K0001;7200;1140;0
K0001;10030;600;0
K0001;360;0;1920
K0001;1550;2040;300
K0001;9080;600;0
K0001;3460;1100;0
K0001;3460;820;0
K0001;1550;1740;300
K0001;8130;600;0
K0001;7180;600;0
K0001;6230;600;0
K0001;5280;600;0
K0001;4330;600;0
K0001;3380;600;0
K0001;3460;540;0
K0001;10980;300;0
K0001;10030;300;0
K0001;9080;300;0
K0001;8130;300;0
K0001;7180;300;0
K0001;6230;300;0
K0001;5280;300;0
K0001;4330;300;0
K0001;3380;300;0
K0001;10980;0;0
K0001;10030;0;0
K0001;9080;0;0
K0001;8130;0;0
K0001;7180;0;0
K0001;6230;0;0
K0001;260;0;0
K0001;5280;0;0
K0001;4330;0;0
K0001;3380;0;0
K0001;2430;1800;0
K0001;2430;1500;0
K0001;2430;1200;0
K0001;2430;900;0
K0001;2430;600;0
K0001;3460;260;0
K0001;0;2240;0
K0001;2430;300;0
K0001;2430;0;0
K0001;2070;2280;0
K0001;1120;2280;0
K0001;1480;1140;0
K0001;260;1960;1140
K0001;1480;0;0
K0001;360;1850;1310
K0001;360;1850;360
K0001;360;900;1560
K0001;360;900;1260
K0001;360;900;960
K0001;360;900;660
K0001;260;1960;0
K0001;360;900;360
K0001;360;0;1910
K0001;1250;1740;300
K0001;950;600;1550
K0001;260;1480;1140
K0001;1850;600;300
K0001;1550;600;300
K0001;1250;600;1250
K0001;260;1480;0
K0001;1120;2400;0
K0001;1250;600;300
K0001;2200;0;950
K0001;540;520;1400
K0001;540;520;1120
K0001;2200;0;0
K0001;540;520;840
K0001;1250;1740;0
K0001;540;520;560
K0001;1250;600;0
K0001;1250;300;1140
K0001;0;1120;0
K0001;540;520;280
K0001;1250;300;0
K0001;540;520;0
K0001;1250;0;1140
K0001;1250;0;0
K0001;1380;280;0
K0001;260;1000;0
K0001;300;1140;1140
K0001;300;0;1140
K0001;300;1800;0
K0001;300;1500;0
K0001;300;1200;0
K0001;0;0;0
K0001;300;900;0
K0001;300;600;0
K0001;300;300;0
K0001;260;520;0
K0001;300;0;0
K0001;0;1140;1850
K0001;1380;0;1140
K0001;0;0;1850
K0001;1380;0;0
K0001;0;1140;1550
K0001;2200;0;2090
K0001;0;0;1550
K0001;280;0;1570
K0001;1020;1774;0
K0001;6060;1140;0
K0001;0;2280;1140
K0001;4920;1140;0
K0001;1020;1640;0
K0001;3780;1140;0
K0001;1020;520;0
K0001;11120;0;1200
K0001;954;520;1400
K0001;820;1640;1400
K0001;820;520;1400
K0001;10560;0;1200
K0001;0;2500;1120
K0001;0;2500;0
K0001;10000;0;1200
K0001;0;950;1900
K0001;0;0;2050
K0001;9440;0;1200
K0001;0;0;1570
K0001;8880;0;1200
K0001;8320;0;1200
K0001;7760;0;1200
K0001;7200;0;1200
K0001;0;2280;0
K0001;6640;0;1200
K0001;6080;0;1200
K0001;5520;0;1200
K0001;4960;0;1200
K0001;0;950;950
K0001;3760;1200;1200
K0001;0;950;0
K0001;4400;0;1200
K0001;0;0;1120
K0001;3840;0;1200
K0001;0;0;0
K0001;11060;0;0
K0001;10500;0;0
K0001;9940;0;0
K0001;9380;0;0
K0001;8820;0;0
K0001;8260;0;0
K0001;7700;0;0
K0001;7140;0;0
K0001;6580;0;0
K0001;6020;0;0
K0001;5460;0;0
K0001;4900;0;0
K0001;4340;0;0
K0001;2640;1945;1200
K0001;2640;1945;0
K0001;3200;745;1120
K0001;2640;745;1120
K0001;2640;745;560
K0001;2640;745;0
K0001;3780;0;0
